Well,Wavelength (nm),Absorbance,Data Point Number,Well Number
"(6, 8)",630,0.2084,677,62
"(6, 8)",640,0.2147,678,62
"(6, 8)",650,0.2485,679,62
"(6, 8)",660,0.2444,680,62
"(6, 8)",670,0.1755,681,62
"(6, 8)",680,0.1027,682,62
"(7, 8)",580,0.2839,683,63
"(7, 8)",590,0.2193,684,63
"(7, 8)",600,0.1679,685,63
"(7, 8)",610,0.1336,686,63
"(7, 8)",620,0.1109,687,63
"(7, 8)",630,0.0972,688,63
"(7, 8)",640,0.0932,689,63
"(7, 8)",650,0.0937,690,63
"(7, 8)",660,0.0829,691,63
"(7, 8)",670,0.0566,692,63
"(7, 8)",680,0.0322,693,63
"(8, 8)",580,0.2839,694,64
"(8, 8)",590,0.2736,695,64
"(8, 8)",600,0.2778,696,64
"(8, 8)",610,0.2708,697,64
"(8, 8)",620,0.2358,698,64
"(8, 8)",630,0.2083,699,64
"(8, 8)",640,0.2148,700,64
"(8, 8)",650,0.2485,701,64
"(8, 8)",660,0.2443,702,64
"(8, 8)",670,0.1757,703,64
"(8, 8)",680,0.1028,704,64
"(1, 9)",580,0.2849,705,65
"(1, 9)",590,0.2748,706,65
"(1, 9)",600,0.2787,707,65
"(1, 9)",610,0.2718,708,65
"(1, 9)",620,0.2366,709,65
"(1, 9)",630,0.2094,710,65
"(1, 9)",640,0.2162,711,65
"(1, 9)",650,0.25,712,65
"(1, 9)",660,0.2453,713,65
"(1, 9)",670,0.1762,714,65
"(1, 9)",680,0.1031,715,65
"(2, 9)",580,0.2815,716,66
"(2, 9)",590,0.2214,717,66
"(2, 9)",600,0.1745,718,66
"(2, 9)",610,0.1416,719,66
"(2, 9)",620,0.1182,720,66
"(2, 9)",630,0.1046,721,66
"(2, 9)",640,0.1021,722,66
"(2, 9)",650,0.1062,723,66
"(2, 9)",660,0.0958,724,66
"(2, 9)",670,0.065,725,66
"(2, 9)",680,0.0367,726,66
"(3, 9)",580,0.2831,727,67
"(3, 9)",590,0.2734,728,67
"(3, 9)",600,0.2781,729,67
